,Performance Record,ADNI,AP,ARH,MDNI,MaxSur,MinSur,AvgSur,Day,Julian_date,date
73,0,140.92,0,87.67,715,75.7,61.2,66.75,74,164,06-13
74,0,256.42,0.02,83.88,900,79.4,58.5,66.75,75,165,06-14
75,0,157.71,0.01,88.83,639,85.5,67.3,73.22,76,166,06-15
76,0,380.92,0.03,81.75,919,84.5,66.6,76.05,77,167,06-16
77,0,373.96,0,81.38,909,89.9,69.1,78.45,78,168,06-17
78,0,378.08,0,67.5,915,90.4,73.6,82.27,79,169,06-18
79,0,152.38,0,67.67,818,86.5,76.1,81.08,80,170,06-19
80,0,95.92,0,81.75,347,85.2,71.1,77.93,81,171,06-20
81,0,371.67,0,68.25,912,91.5,74.9,81.79,82,172,06-21
82,0,366.21,0,66.17,914,94.1,77,85.4,83,173,06-22
83,0,388.29,0,62.88,919,98.1,75.6,86.4,84,174,06-23
84,0,381.5,0,68.38,918,96.8,68.5,83.63,85,175,06-24
85,0,346.67,0.02,77.92,899,93.9,71.6,81.12,86,176,06-25
86,0,386.42,0,77.58,918,93.5,70.8,82.62,87,177,06-26
87,0,334.75,0,65.33,889,95.3,73.6,83.69,88,178,06-27
88,0,369.25,0.01,69.08,866,85,63.1,74.28,89,179,06-28
89,0,301.46,0,53.83,881,90.5,63.2,76.28,90,180,06-29
90,0,392.08,0,56.88,915,86.2,63.1,75.27,91,181,06-30
91,0,395.42,0,55.38,920,84.2,59,71.41,92,182,07-01
92,0,125.63,0,65.96,577,88,58.5,71.49,93,183,07-02
93,0,139.38,0,74.17,495,84.6,62.7,71.65,94,184,07-03
94,0,45,0.01,71.96,318,83.1,72.5,77.3,95,185,07-04
95,0,100,0,82.63,712,78.5,64.6,70.44,96,186,07-05
96,0,308.83,0,73.88,910,87,56.5,71.9,97,187,07-06
97,0,309,0,65.75,914,84.1,61.5,73.44,98,188,07-07
98,0,373.96,0,63.75,914,88.5,64.9,75.6,99,189,07-08
99,0,379.63,0,62.92,912,92.4,67.3,79.26,100,190,07-09
100,0,269.58,0.01,67.04,782,92.7,71.8,82.43,101,191,07-10
101,0,355.92,0,63,911,93.9,74.7,84.38,102,192,07-11
102,0,132.63,0,82.96,658,88,72.9,77.65,103,193,07-12
103,0,220.63,0,75.5,715,86.5,69.4,76.75,104,194,07-13
104,0,118.04,0,77.04,691,92.2,69.8,77.83,105,195,07-14
105,0,338.38,0,52.25,848,91,71.6,83.09,106,196,07-15
106,0,337.42,0,62.88,909,90.5,69.3,78.43,107,197,07-16
107,0,397.75,0,54.88,941,85.2,56.5,70.18,108,198,07-17
108,0,389.21,0,55.79,931,81.2,50.2,67.09,109,199,07-18
109,0,380.75,0,61.79,914,86.4,53.2,68.92,110,200,07-19
110,0,37.25,0,61.96,336,80.2,61.5,69.42,111,201,07-20
111,0,143.04,0.03,86.58,779,79.5,65.4,70,112,202,07-21
112,0,368.29,0,69.58,916,85.3,58.6,70.44,113,203,07-22
113,0,353.75,0,50.5,908,89,67.6,76.49,114,204,07-23
114,0,175.96,0,47.29,789,95.6,69.5,80.07,115,205,07-24
115,0,214.96,0,47.88,794,89.7,71.8,80.76,116,206,07-25
116,0,375.04,0,58.42,911,87.7,62.1,74.12,117,207,07-26
117,0,339.08,0,62.92,911,96,62.6,77.15,118,208,07-27
118,0,252.88,0.02,79.96,821,87.9,65.7,74.18,119,209,07-28
119,0,360.42,0.01,73.29,905,80.8,55.8,68.51,120,210,07-29
120,0,178.25,0,60,546,78.2,62.8,70.05,121,211,07-30
121,0,384.5,0,62.5,926,84.1,54.9,68.61,122,212,07-31
122,0,234.54,0.01,59.88,886,81.3,63,72.53,123,213,08-01
123,0,385.67,0,58.04,926,87.6,53.9,68.92,124,214,08-02
124,0,374.13,0,41.79,913,99.7,67.1,81.14,125,215,08-03
125,0,337.58,0,41.17,919,95.9,75.9,87.31,126,216,08-04
126,0,369.71,0,58.83,916,89.7,64.8,76.86,127,217,08-05
127,0,261.08,0,66.38,711,88.4,62.8,74.98,128,218,08-06
128,0,353.83,0,60.88,908,99.5,72.3,82.69,129,219,08-07
129,0,352.96,0,41.96,909,102.7,80.2,90.35,130,220,08-08
130,0,345.29,0,41.96,918,101.2,79.2,90.13,131,221,08-09
131,0,242.25,0,54.63,825,97.7,71.2,84.23,132,222,08-10
132,0,345.83,0,66.79,924,91.3,64.6,76.63,133,223,08-11
133,0,344.33,0,54.42,921,93.7,65.7,78.26,134,224,08-12
134,0,350.54,0,50.67,912,91.8,69.3,80.27,135,225,08-13
135,0,338,0,53.38,910,90.5,66.2,79.04,136,226,08-14
136,0,255.42,0,56.67,915,91,68.2,78.49,137,227,08-15
137,0,169.96,0.02,80.67,781,91.6,70.2,76.95,138,228,08-16
138,0,173.46,0.03,84.08,840,84.2,68.9,75.58,139,229,08-17
139,0,67.46,0,81.92,500,81.6,66.9,71.59,140,230,08-18
140,0,235.33,0,82.04,727,86.6,65.6,73.45,141,231,08-19
141,0,163.71,0.01,77.92,868,80.9,61.3,70.31,142,232,08-20
142,0,297.54,0,54.63,926,77.6,60.1,69.2,143,233,08-21
143,0,346.58,0,70.21,923,78,53.1,65.32,144,234,08-22
144,0,354.71,0,66.83,937,80.5,51.8,65.65,145,235,08-23
145,0,253.54,0,64,681,85.4,60.9,70.25,146,236,08-24
146,0,330.38,0,67.29,909,91.5,67.8,78.12,147,237,08-25
147,0,230.58,0,72.96,850,89.9,69.6,77.75,148,238,08-26
148,0,19.33,0.03,88.67,194,84.8,66.7,70.75,149,239,08-27
149,0,179.75,0,80.96,821,79.1,58.5,66.77,150,240,08-28
150,0,261.75,0,73.75,915,76.3,57.2,65.77,151,241,08-29
151,0,348.96,0,62.04,949,71.7,50,61.56,152,242,08-30
152,0,212.67,0,74.67,778,69.3,44.8,57.44,153,243,08-31
153,0,246.75,0,71.17,835,76.5,50.1,61,154,244,09-01
154,0,3,0.02,86.33,24,71.7,58.1,62.38,155,245,09-02
155,0,14.33,0,75.42,96,75.3,58.5,65.76,156,246,09-03
156,0,111.92,0.05,80.96,637,72,59,65.46,157,247,09-04
157,0,230.67,0,80.33,924,79.8,56.7,66.2,158,248,09-05
158,0,142.88,0,83.46,837,78.8,62.2,67.61,159,249,09-06
159,0,52.67,0,85.17,445,75.7,53.9,64.43,160,250,09-07
160,0,10.08,0.01,88.58,64,76.6,62.2,67.73,161,251,09-08
161,0,32.08,0.04,94.54,294,75.2,65.5,68.63,162,252,09-09
162,0,250.46,0,83.67,865,81.4,63,71,163,253,09-10
163,0,116.42,0,69.08,633,82.8,65.8,72.43,164,254,09-11
164,0,295.5,0,73.96,904,82.3,62.2,71.32,165,255,09-12
165,0,84.63,0,66.04,266,77.1,61.5,69.13,166,256,09-13
166,0,136.88,0,62.42,731,77.8,62.2,69.08,167,257,09-14
167,0,213.13,0,63.21,837,80,60.8,68.8,168,258,09-15
168,0,262.96,0,60.13,916,81,62.2,71.49,169,259,09-16
169,0,314.83,0,61.04,904,77.4,61.9,69.75,170,260,09-17
170,0,166.38,0,65.04,717,73.7,51.8,63.19,171,261,09-18
171,0,319.75,0,62.08,940,79.2,50.9,63.07,172,262,09-19
172,0,296.08,0,57.58,916,80.2,55.6,67.78,173,263,09-20
173,0,60.96,0.05,85.25,561,74.7,64.6,68.45,174,264,09-21
174,0,191.21,0,76.54,702,66,52,58.93,175,265,09-22
175,0,271.67,0,74.38,937,72.2,45.6,57.35,176,266,09-23
176,0,265.88,0,73.33,936,74.2,47.1,59.25,177,267,09-24
177,0,268.5,0,73.21,927,75.8,52,62.31,178,268,09-25
178,0,96.67,0.01,86.38,678,72.7,55.8,60.83,179,269,09-26
179,0,315.46,0,64.79,927,84.5,56,65.98,180,270,09-27
180,0,323.13,0,32.83,978,74.4,51.6,62.23,181,271,09-28
181,0,323.92,0,47.46,965,69.1,44.8,56,182,272,09-29
182,0,102.63,0,64.67,635,70.5,48,55.98,183,273,09-30
183,0,45.92,0.01,74.88,394,72,64,66.81,184,274,10-01
184,0,332.42,0,36.04,989,65.1,49.9,56.56,185,275,10-02
185,0,319.63,0,48.88,959,62.4,45.5,53.24,186,276,10-03
186,0,282.63,0,63.54,858,65.3,43.9,52.34,187,277,10-04
187,0,136.83,0,61.96,821,64.3,47.3,55.93,188,278,10-05
188,0,265.33,0.02,76.88,914,63.1,56.5,59.41,189,279,10-06
189,0,206.08,0,59.46,960,66.9,37.6,51.3,190,280,10-07
190,0,0,0.08,91.58,0,58.2,50.6,54.88,191,281,10-08
191,0,167.29,0.01,81.25,883,54.2,42,46.3,192,282,10-09
192,0,313.38,0,65.92,982,46.6,35.9,40.32,193,283,10-10
193,0,2.83,0,62.54,28,42.2,34.7,37.65,194,284,10-11
194,0,49.42,0,83.83,544,55.5,38.7,44.54,195,285,10-12
195,0,0,0.01,80.88,0,49.4,39.9,44.51,196,286,10-13
196,0,0.88,0,92.25,11,47,39.9,42.25,197,287,10-14
197,0,147.13,0,86.63,789,57.4,43,47.07,198,288,10-15
198,0,95.71,0,76.21,660,51.5,39.6,45.13,199,289,10-16
199,0,133.79,0,72.04,750,51,38.7,45.43,200,290,10-17
200,0,283.54,0,75.13,937,59.6,36.8,44.6,201,291,10-18
201,0,6.92,0,80.71,116,67.7,52.8,56.95,202,292,10-19
202,0,0,0.01,88.21,0,65.4,58.9,62.2,203,293,10-20
203,0,0,0,89.38,0,67.4,61.1,63.51,204,294,10-21
204,0,0,0.04,94.83,0,61.4,46.4,57.79,205,295,10-22
205,0,0.08,0,82.42,1,45.4,40.2,42.99,206,296,10-23
206,0,241.17,0,75.25,929,62.7,37.5,46,207,297,10-24
207,0,45.58,0.01,85,410,59.3,51.2,54.55,208,298,10-25
208,0,206.13,0.01,81,911,55,40.3,48.29,209,299,10-26
209,0,226.79,0,80.67,874,55.9,36.9,44.97,210,300,10-27
210,0,204.54,0,83.54,885,64,47,52.33,211,301,10-28
211,0,0,0.04,90.25,0,64.6,56,59.73,212,302,10-29
212,0,62.33,0,78,690,62.4,43.3,52.725,213,303,10-30
213,0,259.21,0,67.13,930,56.3,40.2,45.72,214,304,10-31
214,1,209.88,0,85.38,760,65.3,40.5,54.08,1,91,04-01
215,1,106.17,0,67.79,794,55.2,40.5,47.42,2,92,04-02
216,1,0.25,0.01,73.96,5,50.4,39.6,43.53,3,93,04-03
217,1,0,0.03,94.67,0,47.1,43.2,45.21,4,94,04-04
218,1,320,0,79.29,978,63,42,49.69,5,95,04-05
219,1,307.96,0,65.58,970,70.5,38.3,53.07,6,96,04-06
220,1,255.21,0,70.04,876,70.3,48.1,58.76,7,97,04-07
221,1,38.92,0,83.13,352,69.5,54,61.13,8,98,04-08
222,1,101.33,0,79.88,561,78.2,58.2,66.85,9,99,04-09
223,1,302.29,0,68.46,794,82.2,59.9,70.14,10,100,04-10
224,1,122.21,0.02,78.29,646,76.3,60.1,67.94,11,101,04-11
225,1,339.29,0.02,76.46,977,63.5,44.8,54.47,12,102,04-12
226,1,342.33,0,72.5,971,70.3,44.8,55.6,13,103,04-13
227,1,9.63,0,63.71,85,66.2,51,57.21,14,104,04-14
228,1,8.96,0,90.67,84,69.5,52.6,58.54,15,105,04-15
229,1,30.54,0.01,92.54,237,76.5,61.3,65.95,16,106,04-16
230,1,88.63,0.02,92.5,572,79.4,66.4,71.48,17,107,04-17
231,1,239.13,0,77.25,897,80.4,63.1,71.27,18,108,04-18
232,1,11.21,0.04,79.58,124,72.2,44.8,55.45,19,109,04-19
233,1,369.46,0,67.38,998,61.5,34.2,46.4,20,110,04-20
234,1,316.67,0,56.63,948,67.5,39.3,52.32,21,111,04-21
235,1,197.21,0,71.67,616,66.1,47.7,56.15,22,112,04-22
236,1,199.96,0,70.17,840,73.9,49.5,59.99,23,113,04-23
237,1,20.25,0.02,86,262,65.9,49.9,59.04,24,114,04-24
238,1,386.58,0,68.54,1000,64.1,36.4,49.13,25,115,04-25
239,1,177.92,0,58,860,67.5,42.3,53.09,26,116,04-26
240,1,4.25,0.04,94.08,98,67.2,52.4,57.8,27,117,04-27
241,1,0.79,0.07,96.92,15,66.6,61.8,63.86,28,118,04-28
242,1,265.5,0,82.5,898,73.3,55.5,62.78,29,119,04-29
243,1,328.5,0,69,942,77.8,47.5,62.23,30,120,04-30
244,1,110.33,0,72.88,417,74.7,61.4,66.73,31,121,05-01
245,1,14.71,0,80.33,201,68.3,60.1,63.65,32,122,05-02
246,1,91.58,0.01,87.04,778,72.4,56.6,62.25,33,123,05-03
247,1,28.29,0.05,91.04,227,60,37.6,48.41,34,124,05-04
248,1,37.5,0.01,89.17,320,60.1,40.7,47.54,35,125,05-05
249,1,1.33,0.05,97.08,16,56.2,48.3,50.99,36,126,05-06
250,1,137.58,0,86.04,885,69.6,39.1,52.74,37,127,05-07
251,1,329.96,0,82.13,903,75.5,50.7,61.6,38,128,05-08
252,1,231.08,0,76.42,877,78.5,54.5,66,39,129,05-09
253,1,49.92,0.01,84.96,380,73.8,60.7,65.4,40,130,05-10
254,1,60.33,0.02,92.08,298,70.1,59.1,64.87,41,131,05-11
255,1,382.21,0,65.67,993,64.4,46.8,57.08,42,132,05-12
256,1,370.04,0,58.5,969,69.1,37,53.86,43,133,05-13
257,1,344.17,0,63.63,927,80.6,47.9,62.17,44,134,05-14
258,1,348.42,0,59.25,924,82.5,56.5,69.51,45,135,05-15
259,1,222.92,0,64.17,828,80,61.9,70.86,46,136,05-16
260,1,1.92,0.04,88.17,39,72.1,62,65.49,47,137,05-17
261,1,322.04,0.02,92.88,911,77.7,63.8,70.08,48,138,05-18
262,1,106.75,0.01,85.42,500,83.4,67.7,73.88,49,139,05-19
263,1,336.67,0,75.38,914,85.7,64.9,74.75,50,140,05-20
264,1,337.33,0,71.71,914,87.8,66.7,76.6,51,141,05-21
265,1,201.38,0.01,79.58,781,80.5,64.2,71.95,52,142,05-22
266,1,320.21,0,77.54,912,81.5,62.4,70.52,53,143,05-23
267,1,302.08,0,69.79,955,71.9,56.5,64.07,54,144,05-24
268,1,376.13,0,54.96,974,80.2,46.6,62.22,55,145,05-25
269,1,330.5,0,56.29,918,83.5,48.2,65.19,56,146,05-26
270,1,333.92,0,62.29,894,85.1,59,70.56,57,147,05-27
271,1,324.13,0,60.29,880,84.4,63.7,74.08,58,148,05-28
272,1,329,0,65.04,905,86.1,64.4,74.44,59,149,05-29
273,1,263.38,0.01,78.58,852,81.8,68.4,74.44,60,150,05-30
274,1,155.63,0.01,76.79,653,82.8,69.8,75.31,61,151,05-31
275,1,225.33,0.01,84.42,753,81,67.5,74.36,62,152,06-01
276,1,35.71,0.02,93.46,272,76.4,70.3,72.29,63,153,06-02
277,1,266.63,0,76.42,912,81.3,59.7,69.53,64,154,06-03
278,1,229.79,0,69.13,809,88.2,61.1,72.2,65,155,06-04
279,1,231.29,0.03,84.63,698,80.2,65.5,72.68,66,156,06-05
280,1,141.38,0.01,85.21,688,83.2,64.6,72.76,67,157,06-06
281,1,103.88,0.02,90.71,495,78.5,64.6,69.88,68,158,06-07
282,1,129.42,0,81.75,588,82.6,59.3,69.27,69,159,06-08
283,1,233.17,0.04,88.88,711,78.1,64.6,71.94,70,160,06-09
284,1,218.25,0.01,80.04,810,85.5,67.8,73.82,71,161,06-10
285,1,342.63,0,66.83,909,91.2,66.2,77.67,72,162,06-11
286,1,317.46,0,66.67,913,92.9,65.1,79.8,73,163,06-12
287,1,258.75,0,70.13,883,90.3,70.7,79.92,74,164,06-13
288,1,359.29,0,66.71,917,83,64,73.81,75,165,06-14
289,1,337.71,0,62.33,903,87,56.1,72,76,166,06-15
290,1,294.17,0.01,74.79,892,82.3,66.7,74.82,77,167,06-16
291,1,268.13,0.02,87.46,890,84.4,68,76.25,78,168,06-17
292,1,36.13,0.02,91.96,299,77.4,69.9,72.5,79,169,06-18
293,1,242.79,0,68,869,87.3,62.6,73.89,80,170,06-19
294,1,343.67,0,67.04,907,88.1,62.7,74.95,81,171,06-20
295,1,199.92,0,67.46,825,86.3,64.9,75.35,82,172,06-21
296,1,335.71,0,64.79,897,87.9,65.1,75.14,83,173,06-22
297,1,345.46,0,59.58,906,90.4,60.8,74.82,84,174,06-23
298,1,322.75,0,78,868,88,66.2,76.37,85,175,06-24
299,1,319.13,0.01,84.79,892,86.2,69.6,76.8,86,176,06-25
300,1,313.63,0,73.38,882,91.6,72,80.33,87,177,06-26
301,1,331.96,0,61.79,902,94.6,72.7,81.89,88,178,06-27
302,1,135.96,0,66.58,887,87.6,68.6,77.67,89,179,06-28
303,1,284.71,0,68.5,911,87.5,63.3,75.93,90,180,06-29
304,1,198.71,0,64.58,904,85.6,57.7,72.51,91,181,06-30
305,1,265.08,0,74.54,847,84.9,60.1,72,92,182,07-01
306,1,173.63,0,81,789,84.3,62.8,71.07,93,183,07-02
307,1,52.46,0,74.83,241,81.7,65.1,72.78,94,184,07-03
308,1,0.63,0.04,96.5,15,74.3,67.5,69.77,95,185,07-04
309,1,58.54,0.03,95.04,353,77.3,68.5,71.53,96,186,07-05
310,1,4.04,0.03,95.29,39,76.6,69.2,71.04,97,187,07-06
311,1,253.63,0.01,92.5,757,79.5,67.1,72.75,98,188,07-07
312,1,223.67,0.01,91.75,844,82.9,68.7,75.08,99,189,07-08
313,1,176.13,0,84.75,774,92,72.3,78.88,100,190,07-09
314,1,320.29,0.01,80.83,862,93.4,70,79.58,101,191,07-10
315,1,284.25,0,79.54,865,91.7,68.4,78.21,102,192,07-11
316,1,350.79,0,78.29,913,85.9,65.3,75.38,103,193,07-12
317,1,325.71,0,67.96,932,87.2,58.6,72.38,104,194,07-13
318,1,176.33,0.03,91,628,83.3,68.7,73.84,105,195,07-14
319,1,235.42,0.01,82.54,817,88,70.9,77.34,106,196,07-15
320,1,336.08,0,75.54,902,88.9,68.9,78.45,107,197,07-16
321,1,329.54,0,67.92,903,94.4,66.6,79.15,108,198,07-17
322,1,152.04,0,70.42,574,91.7,68.2,79.02,109,199,07-18
323,1,332.25,0,73.58,869,90.8,65.3,77.29,110,200,07-19
324,1,305.08,0,70.46,868,88.9,67.5,77.97,111,201,07-20
325,1,162.42,0.01,80.25,652,86,70.9,77.81,112,202,07-21
326,1,5.21,0,91.75,38,80,69.8,73.59,113,203,07-22
327,1,96.88,0,84.08,593,85.8,66.9,74.93,114,204,07-23
328,1,228.04,0,77.54,862,89.2,62.2,75.51,115,205,07-24
329,1,344.58,0,71.96,914,85.6,61.7,73.87,116,206,07-25
330,1,306.83,0,64.33,905,86.9,55.9,73.38,117,207,07-26
331,1,187.92,0,65.29,754,85.6,66.9,74.55,118,208,07-27
332,1,182.13,0,75.92,751,80.7,62.4,72.24,119,209,07-28
333,1,183.08,0,55.5,705,84.8,57.6,70.55,120,210,07-29
334,1,209.13,0,54.88,717,91.3,61.2,74.35,121,211,07-30
335,1,20.29,0.03,87.79,216,78.7,69.4,72.76,122,212,07-31
336,1,310.08,0.02,81.63,902,86.9,70.2,76.54,123,213,08-01
337,1,311.29,0,69.08,911,90.3,63.7,75.83,124,214,08-02
338,1,79.58,0,72.25,324,85.8,65.1,73.62,125,215,08-03
339,1,328.54,0,73.79,859,88.7,66.4,76.94,126,216,08-04
340,1,124.38,0,61.08,734,89.8,65.3,74.95,127,217,08-05
341,1,44.96,0.09,90.25,495,78.5,68.7,73.28,128,218,08-06
342,1,61.21,0,90.33,567,90.9,72.1,76.97,129,219,08-07
343,1,300.21,0.02,91.13,901,86.7,72.1,78.21,130,220,08-08
344,1,275.38,0.02,91.83,888,84.7,72.5,78.29,131,221,08-09
345,1,231.21,0.02,91.08,783,84,72.7,77.95,132,222,08-10
346,1,276.58,0.03,91.33,813,82.9,71.4,77.28,133,223,08-11
347,1,215.88,0.03,93.33,810,83.3,72.5,77.4,134,224,08-12
348,1,180,0.01,87.46,774,86.4,72.7,77.5,135,225,08-13
349,1,260.54,0,77.71,834,81.2,63.3,72.22,136,226,08-14
350,1,176.25,0,73.92,854,78.5,57.4,67.93,137,227,08-15
351,1,7.42,0,81.17,96,70.1,63.9,66.65,138,228,08-16
352,1,11.29,0,89.13,225,71.1,60.4,64.8,139,229,08-17
353,1,3.04,0,93.29,20,72.4,60.2,66.64,140,230,08-18
354,1,121.08,0.03,94.29,580,79.1,66.6,71.01,141,231,08-19
355,1,226.42,0.03,94.21,774,80.1,69.3,73.97,142,232,08-20
356,1,72,0.03,92.04,490,84.7,70.3,75.31,143,233,08-21
357,1,287.71,0.02,90.17,867,84,68.2,76.46,144,234,08-22
358,1,322.5,0.01,82.92,866,87.2,65.1,76.69,145,235,08-23
359,1,327.33,0,75.71,901,88.1,66.2,76,146,236,08-24
360,1,336.79,0,72,906,86.3,65.7,75.45,147,237,08-25
361,1,335.08,0,67.5,917,84.6,61.2,72.97,148,238,08-26
362,1,302.38,0,71.13,915,88.6,59.4,71.94,149,239,08-27
363,1,317.17,0,67.5,899,89.4,63,76.34,150,240,08-28
364,1,322.29,0,68.54,903,90.2,67.1,78.25,151,241,08-29
365,1,288.83,0,70.96,908,90.2,69.1,79.83,152,242,08-30
366,1,329.21,0.01,78.92,867,89.3,70.9,79.51,153,243,08-31
367,1,250.63,0.01,76.92,701,89.3,70,78.12,154,244,09-01
368,1,52.54,0,82.67,359,79.9,70.6,74.64,155,245,09-02
369,1,330.08,0.01,81.54,907,86.5,66.6,74.93,156,246,09-03
370,1,258.33,0,68.17,891,85.3,61.7,73.53,157,247,09-04
371,1,321.71,0,70.13,911,86.2,61.5,73.16,158,248,09-05
372,1,329.79,0,62.33,909,89.7,59,72.7,159,249,09-06
373,1,328.42,0,69.21,912,90,60.8,72.58,160,250,09-07
374,1,321.29,0,71,911,90.7,61,74.64,161,251,09-08
375,1,310.21,0,71.5,911,93,65.1,76.54,162,252,09-09
376,1,290.58,0.01,78,865,85,70.3,77.37,163,253,09-10
377,1,276.75,0,75.58,868,91.7,68.2,77.92,164,254,09-11
378,1,143.67,0,71.67,781,88.6,68.1,75.84,165,255,09-12
379,1,322.21,0,68.21,918,79.4,64,71.81,166,256,09-13
380,1,330.5,0,62.58,944,76.7,51.4,64.04,167,257,09-14
381,1,306.33,0,69.96,920,83,55.7,66.73,168,258,09-15
382,1,285.79,0,70.38,904,85.8,53.2,68.97,169,259,09-16
383,1,260.63,0,65.92,846,85,63.7,72.61,170,260,09-17
384,1,267.96,0,76.33,902,82,65.5,72.64,171,261,09-18
385,1,276.63,0,74.5,891,87.2,63.7,73.19,172,262,09-19
