,Performance Record,Maturity Group,Genotype ID,State,Year,Location,Yield
122,122,7.0,972,"""AL""",2008,51.0,42.6
123,123,5.0,1894,"""MS""",2007,139.0,75.5
124,124,3.0,4000,"""OH""",2007,63.0,84.5
125,125,1.0,2611,"""MI""",2003,64.0,38.2
126,126,3.0,3284,"""NE""",2012,77.0,79.9
127,127,3.0,4588,"""KS""",2009,6.0,69.0
128,128,2.0,442,"""OH""",2007,63.0,76.4
129,129,-1.0,1771,"""MAN""",2010,88.0,55.6
130,130,1.0,3796,"""IN""",2006,150.0,55.7
131,131,2.0,2528,"""NE""",2013,82.0,88.7
132,132,1.0,3274,"""ONT""",2008,33.0,59.6
133,133,4.0,2051,"""TN""",2012,129.0,64.2
134,134,5.0,47,"""VA""",2012,151.0,63.7
135,135,3.0,91,"""IN""",2006,154.0,69.4
136,136,3.0,5343,"""NE""",2011,102.0,72.7
137,137,0.0,3186,"""MN""",2004,89.0,28.6
138,138,0.0,3177,"""ONT""",2003,156.0,36.9
139,139,5.0,881,"""AR""",2004,103.0,49.0
140,140,5.0,2138,"""TX""",2003,112.0,6.3
141,141,2.0,122,"""NE""",2005,40.0,79.3
142,142,2.0,3872,"""ONT""",2012,33.0,81.0
143,143,2.0,121,"""SD""",2005,10.0,60.1
144,144,5.0,3084,"""AR""",2009,103.0,62.9
145,145,5.0,2870,"""MS""",2014,139.0,58.6
146,146,4.0,3020,"""AR""",2011,69.0,63.5
147,147,7.0,4843,"""GA""",2007,146.0,49.4
148,148,2.0,471,"""NE""",2008,40.0,75.0
149,149,1.0,5753,"""NE""",2011,102.0,94.0
150,150,5.0,2693,"""AL""",2012,16.0,55.8
151,151,4.0,964,"""MD""",2003,113.0,43.6
152,152,5.0,3210,"""MO""",2007,110.0,54.2
153,153,0.0,5464,"""MN""",2003,89.0,40.9
154,154,4.0,2759,"""IN""",2012,154.0,47.3
155,155,5.0,1350,"""IL""",2008,147.0,57.2
156,156,3.0,4088,"""NE""",2015,159.0,64.9
157,157,0.0,2825,"""MN""",2009,117.0,32.1
158,158,2.0,2013,"""IL""",2013,148.0,57.2
159,159,0.0,1739,"""MN""",2006,117.0,41.7
160,160,6.0,1317,"""AL""",2007,143.0,48.9
161,161,3.0,4081,"""IN""",2012,154.0,50.3
162,162,1.0,5753,"""MN""",2011,152.0,41.9
163,163,5.0,2359,"""MD""",2008,113.0,47.0
164,164,6.0,724,"""NC""",2010,107.0,27.0
165,165,6.0,4396,"""NC""",2006,107.0,38.9
166,166,4.0,4147,"""TN""",2012,67.0,60.9
167,167,3.0,5387,"""IA""",2012,59.0,66.5
168,168,2.0,2471,"""MI""",2003,75.0,57.3
169,169,1.0,1656,"""QUE""",2012,130.0,58.4
170,170,8.0,1086,"""GA""",2004,7.0,42.6
171,171,3.0,4495,"""NE""",2003,56.0,50.6
172,172,8.0,1341,"""GA""",2004,7.0,43.0
173,173,3.0,390,"""NE""",2011,77.0,56.2
174,174,4.0,1050,"""KS""",2010,78.0,37.6
175,175,2.0,582,"""SD""",2009,10.0,38.2
176,176,3.0,81,"""NE""",2008,92.0,59.6
177,177,5.0,887,"""TN""",2008,72.0,42.5
178,178,3.0,3079,"""OH""",2003,63.0,58.4
179,179,8.0,748,"""GA""",2007,8.0,22.1
180,180,0.0,4923,"""ND""",2006,31.0,55.4
181,181,-1.0,3181,"""ONT""",2009,50.0,48.0
182,182,6.0,1034,"""SC""",2010,20.0,37.3
183,183,8.0,2417,"""GA""",2011,105.0,60.2
184,184,1.0,4479,"""MI""",2003,64.0,35.8
185,185,2.0,3835,"""ONT""",2008,61.0,52.6
186,186,2.0,5756,"""MI""",2011,64.0,68.1
187,187,2.0,3703,"""OH""",2012,157.0,50.5
188,188,1.0,4985,"""MI""",2013,64.0,37.2
189,189,3.0,3281,"""NE""",2012,34.0,78.6
190,190,1.0,5229,"""IN""",2007,154.0,40.6
191,191,1.0,2611,"""SD""",2004,24.0,13.6
192,192,7.0,814,"""NC""",2004,66.0,31.8
193,193,2.0,3752,"""OH""",2012,157.0,47.6
194,194,2.0,841,"""IN""",2014,150.0,72.9
195,195,3.0,70,"""NE""",2007,45.0,59.3
196,196,5.0,917,"""KS""",2005,104.0,25.2
197,197,-1.0,2581,"""ONT""",2012,50.0,27.9
198,198,0.0,4216,"""ND""",2015,52.0,61.1
199,199,6.0,1616,"""MS""",2013,139.0,45.8
200,200,4.0,2470,"""MS""",2006,139.0,52.2
201,201,0.0,3185,"""AR""",2004,69.0,7.7
202,202,1.0,4419,"""NE""",2005,40.0,66.9
203,203,5.0,1210,"""TN""",2004,129.0,61.5
204,204,5.0,3295,"""NC""",2014,71.0,44.4
205,205,2.0,3041,"""NE""",2004,40.0,54.9
206,206,8.0,750,"""NC""",2008,167.0,38.8
207,207,2.0,3357,"""SD""",2004,24.0,24.5
208,208,4.0,2925,"""AR""",2010,140.0,31.1
209,209,0.0,3266,"""ONT""",2003,99.0,50.5
210,210,6.0,1317,"""NC""",2006,107.0,41.4
211,211,5.0,3501,"""AR""",2007,116.0,67.0
212,212,4.0,100,"""OH""",2003,123.0,51.0
213,213,2.0,4072,"""IA""",2011,26.0,69.9
214,214,5.0,2515,"""MD""",2003,113.0,40.2
215,215,8.0,1066,"""GA""",2008,7.0,54.7
216,216,6.0,994,"""GA""",2010,7.0,51.2
217,217,-1.0,4159,"""QUE""",2008,73.0,33.8
218,218,3.0,5046,"""OH""",2011,63.0,91.6
219,219,-1.0,2857,"""QUE""",2014,133.0,87.9
220,220,2.0,5645,"""IL""",2015,44.0,67.7
221,221,1.0,3742,"""IN""",2004,154.0,35.8
222,222,2.0,3992,"""SD""",2012,18.0,20.5
223,223,5.0,1584,"""LA""",2006,22.0,28.1
224,224,5.0,1415,"""MO""",2014,109.0,55.4
225,225,1.0,18,"""NE""",2012,40.0,100.6
226,226,4.0,3581,"""MO""",2014,109.0,57.3
227,227,5.0,1414,"""MS""",2008,139.0,84.8
228,228,6.0,53,"""NC""",2010,107.0,49.4
229,229,5.0,44,"""VA""",2005,151.0,43.4
230,230,3.0,5324,"""OH""",2004,124.0,29.3
231,231,4.0,2615,"""VA""",2011,151.0,71.3
232,232,3.0,5483,"""IN""",2015,154.0,57.0
233,233,5.0,1172,"""AR""",2012,140.0,59.3
234,234,4.0,342,"""VA""",2007,97.0,13.9
235,235,1.0,2785,"""NE""",2014,40.0,51.3
236,236,1.0,3658,"""MN""",2004,152.0,50.8
237,237,3.0,4693,"""KS""",2007,98.0,20.6
238,238,2.0,446,"""ONT""",2007,61.0,73.1
239,239,5.0,1430,"""MO""",2006,109.0,62.3
240,240,0.0,3559,"""MN""",2006,117.0,23.0
241,241,5.0,2668,"""MO""",2007,109.0,67.3
242,242,0.0,716,"""MN""",2009,117.0,43.5
243,243,4.0,2470,"""TN""",2011,67.0,47.5
244,244,2.0,5042,"""NE""",2010,40.0,81.3
245,245,0.0,4287,"""SD""",2008,10.0,37.4
246,246,1.0,3740,"""NE""",2004,40.0,64.5
247,247,0.0,4170,"""QUE""",2011,133.0,90.5
248,248,3.0,5353,"""IA""",2007,30.0,63.3
249,249,0.0,3521,"""ONT""",2007,99.0,40.4
250,250,1.0,4541,"""QUE""",2013,130.0,70.1
251,251,-1.0,5,"""MN""",2008,121.0,24.8
252,252,2.0,5777,"""IA""",2013,30.0,57.7
253,253,3.0,4482,"""MO""",2003,94.0,32.6
254,254,4.0,2108,"""NC""",2006,107.0,53.0
255,255,5.0,2875,"""VA""",2009,141.0,66.4
256,256,1.0,2940,"""IN""",2007,154.0,43.8
257,257,1.0,4978,"""ONT""",2011,114.0,65.7
258,258,-1.0,1678,"""MN""",2010,87.0,23.8
259,259,6.0,999,"""SC""",2010,36.0,56.8
260,260,0.0,4915,"""MN""",2006,89.0,26.9
261,261,5.0,1270,"""DE""",2004,55.0,65.0
262,262,4.0,666,"""MO""",2011,109.0,66.7
263,263,2.0,310,"""NE""",2015,158.0,77.0
264,264,7.0,1774,"""NC""",2012,107.0,38.5
265,265,1.0,2596,"""IN""",2007,150.0,44.3
266,266,1.0,416,"""NE""",2005,40.0,64.7
267,267,7.0,2378,"""GA""",2005,105.0,44.7
268,268,7.0,54,"""NC""",2009,71.0,30.1
269,269,2.0,5669,"""NE""",2008,102.0,92.2
270,270,2.0,4220,"""IL""",2015,148.0,27.9
271,271,7.0,4888,"""GA""",2013,7.0,71.2
272,272,1.0,1782,"""NE""",2010,102.0,79.8
273,273,3.0,5183,"""IN""",2003,154.0,49.7
274,274,1.0,2298,"""SD""",2010,153.0,33.6
275,275,1.0,1404,"""NE""",2003,15.0,41.9
276,276,0.0,2827,"""ONT""",2009,156.0,58.5
277,277,2.0,3876,"""MI""",2011,64.0,52.5
278,278,2.0,5686,"""MI""",2015,64.0,49.2
279,279,4.0,3014,"""TN""",2011,67.0,35.5
280,280,1.0,5273,"""SD""",2003,153.0,17.4
281,281,7.0,2366,"""GA""",2011,146.0,70.2
282,282,6.0,1236,"""VA""",2005,141.0,31.4
283,283,4.0,862,"""KS""",2004,81.0,30.3
284,284,4.0,1095,"""KS""",2006,78.0,26.4
285,285,1.0,5196,"""IN""",2004,150.0,51.4
286,286,4.0,925,"""AR""",2005,103.0,27.5
287,287,1.0,3915,"""MI""",2015,118.0,68.0
288,288,3.0,31,"""NE""",2010,45.0,70.9
289,289,2.0,3349,"""ONT""",2003,61.0,30.8
290,290,0.0,2094,"""MN""",2003,117.0,39.9
291,291,4.0,2615,"""MS""",2005,139.0,67.3
292,292,1.0,4413,"""ONT""",2005,33.0,43.1
293,293,2.0,3307,"""OH""",2006,157.0,53.8
294,294,3.0,5135,"""IL""",2014,148.0,70.0
295,295,3.0,5482,"""OH""",2011,63.0,96.0
296,296,5.0,2331,"""MD""",2008,113.0,50.2
297,297,8.0,889,"""NC""",2009,66.0,45.8
298,298,1.0,1863,"""IN""",2004,154.0,40.0
299,299,2.0,5323,"""IA""",2004,115.0,48.3
300,300,6.0,1463,"""SC""",2007,36.0,41.6
301,301,4.0,101,"""AR""",2003,116.0,31.3
302,302,1.0,3498,"""ONT""",2014,114.0,54.4
303,303,4.0,682,"""AR""",2012,69.0,59.2
304,304,3.0,5354,"""IA""",2014,41.0,53.5
305,305,4.0,2305,"""MD""",2008,113.0,47.9
306,306,3.0,512,"""IA""",2004,2.0,68.2
307,307,1.0,2771,"""NE""",2014,102.0,88.9
308,308,2.0,4018,"""NE""",2003,40.0,72.9
309,309,6.0,2416,"""SC""",2011,20.0,56.8
310,310,3.0,5497,"""OH""",2003,63.0,49.3
311,311,2.0,3341,"""MI""",2009,64.0,57.3
312,312,3.0,5497,"""IL""",2003,148.0,59.8
313,313,4.0,1980,"""KY""",2004,76.0,81.0
314,314,3.0,4717,"""IA""",2014,2.0,55.6
315,315,6.0,2263,"""GA""",2011,146.0,55.5
316,316,5.0,1942,"""VA""",2007,141.0,37.0
317,317,4.0,3945,"""MD""",2009,113.0,57.6
318,318,5.0,4270,"""AR""",2005,140.0,60.9
319,319,6.0,1053,"""AL""",2006,16.0,21.2
320,320,3.0,2751,"""IA""",2007,30.0,70.9
321,321,0.0,5233,"""SD""",2007,10.0,38.0
322,322,3.0,3804,"""IA""",2005,2.0,70.5
323,323,0.0,2774,"""SD""",2011,23.0,9.6
324,324,1.0,5196,"""SD""",2005,10.0,48.3
325,325,2.0,636,"""NE""",2012,15.0,49.4
326,326,5.0,1062,"""MD""",2008,113.0,48.7
327,327,3.0,234,"""KS""",2009,78.0,63.9
328,328,3.0,4644,"""OH""",2012,63.0,66.9
329,329,6.0,3047,"""AR""",2014,69.0,75.7
330,330,1.0,5258,"""MN""",2009,74.0,54.3
331,331,4.0,2318,"""VA""",2008,151.0,41.5
332,332,4.0,3019,"""MD""",2009,113.0,43.2
333,333,3.0,434,"""IL""",2008,148.0,50.1
334,334,0.0,5199,"""MN""",2004,89.0,32.0
335,335,-1.0,716,"""MN""",2005,121.0,42.8
336,336,4.0,695,"""OK""",2003,19.0,22.6
337,337,5.0,1011,"""VA""",2012,97.0,33.2
338,338,4.0,1529,"""AR""",2005,140.0,41.6
339,339,4.0,3784,"""LA""",2008,22.0,16.7
340,340,0.0,3163,"""ONT""",2014,156.0,39.4
341,341,2.0,816,"""IL""",2005,148.0,47.4
342,342,1.0,1655,"""NE""",2013,102.0,73.7
343,343,2.0,4485,"""OH""",2004,63.0,79.2
344,344,1.0,4222,"""IN""",2015,150.0,31.6
345,345,0.0,3741,"""SD""",2003,153.0,19.3
346,346,6.0,4396,"""SC""",2007,36.0,38.1
347,347,1.0,4415,"""MN""",2004,152.0,44.6
348,348,3.0,3627,"""IL""",2015,148.0,66.4
349,349,-1.0,2102,"""MN""",2003,121.0,39.8
350,350,5.0,1789,"""KS""",2007,104.0,29.8
351,351,-1.0,1031,"""ONT""",2011,47.0,43.5
352,352,5.0,5812,"""AR""",2012,140.0,80.4
353,353,4.0,3091,"""IL""",2003,148.0,48.4
354,354,4.0,1507,"""KS""",2013,104.0,25.1
355,355,1.0,2611,"""IA""",2005,32.0,31.1
356,356,6.0,1600,"""AL""",2007,143.0,43.6
357,357,8.0,2431,"""GA""",2014,7.0,44.2
358,358,-1.0,3507,"""MN""",2005,42.0,30.9
359,359,3.0,2674,"""AR""",2003,116.0,44.4
360,360,8.0,1305,"""SC""",2003,20.0,44.9
361,361,2.0,4537,"""IA""",2015,2.0,48.7
362,362,8.0,1605,"""GA""",2008,105.0,54.0
363,363,0.0,3447,"""ONT""",2007,99.0,47.9
364,364,2.0,2494,"""OH""",2013,63.0,44.0
365,365,4.0,3379,"""KS""",2003,78.0,36.8
366,366,5.0,1434,"""LA""",2006,22.0,28.9
367,367,-1.0,746,"""AR""",2003,69.0,14.7
368,368,0.0,2267,"""MN""",2008,89.0,36.7
369,369,2.0,5747,"""NE""",2007,15.0,56.6
370,370,1.0,4167,"""SD""",2009,10.0,38.8
371,371,3.0,5527,"""IN""",2004,27.0,37.0
372,372,-1.0,3534,"""MN""",2008,121.0,33.5
373,373,5.0,3190,"""KY""",2009,111.0,72.7
374,374,2.0,3798,"""SD""",2013,149.0,50.3
375,375,6.0,628,"""MS""",2010,139.0,25.3
376,376,7.0,2378,"""SC""",2005,20.0,35.7
377,377,5.0,3207,"""TN""",2007,129.0,14.9
378,378,2.0,5623,"""IN""",2007,154.0,41.4
379,379,2.0,223,"""IL""",2009,148.0,69.1
380,380,1.0,2251,"""IA""",2015,21.0,59.0
381,381,0.0,4992,"""SD""",2004,153.0,30.2
382,382,1.0,582,"""MN""",2010,74.0,61.3
383,383,3.0,915,"""IA""",2006,2.0,59.9
384,384,6.0,752,"""AL""",2011,143.0,49.9
385,385,0.0,4919,"""MN""",2006,117.0,45.9
386,386,3.0,4039,"""NE""",2008,45.0,76.9
387,387,6.0,2898,"""NC""",2013,107.0,61.0
388,388,1.0,3257,"""ONT""",2008,33.0,59.5
389,389,4.0,5605,"""AR""",2005,140.0,59.4
390,390,0.0,2604,"""ONT""",2003,99.0,57.1
391,391,2.0,5352,"""NE""",2008,102.0,92.9
392,392,8.0,1590,"""SC""",2007,36.0,38.7
393,393,6.0,1198,"""SC""",2010,36.0,61.9
394,394,3.0,1543,"""OH""",2005,63.0,56.8
395,395,1.0,3498,"""MI""",2005,64.0,53.1
396,396,4.0,39,"""VA""",2013,151.0,81.9
397,397,4.0,2143,"""TN""",2005,129.0,31.3
398,398,0.0,1404,"""MO""",2003,110.0,20.6
399,399,0.0,1731,"""NE""",2003,40.0,50.0
400,400,6.0,1692,"""AL""",2015,16.0,53.1
401,401,4.0,1242,"""KY""",2005,111.0,11.6
402,402,3.0,4063,"""IN""",2005,27.0,41.1
403,403,5.0,1393,"""KS""",2006,104.0,35.1
404,404,3.0,5383,"""MO""",2009,38.0,60.2
405,405,3.0,915,"""IA""",2005,30.0,71.3
406,406,3.0,5350,"""IN""",2015,154.0,61.5
407,407,5.0,940,"""KS""",2009,81.0,26.1
408,408,1.0,4895,"""MI""",2003,64.0,32.4
409,409,2.0,4538,"""SD""",2013,149.0,32.1
410,410,2.0,168,"""MI""",2006,64.0,54.5
411,411,8.0,2227,"""GA""",2009,7.0,56.2
412,412,0.0,2058,"""SD""",2003,24.0,31.0
413,413,1.0,311,"""NE""",2005,56.0,83.6
414,414,8.0,4393,"""SC""",2005,20.0,38.6
415,415,4.0,2113,"""AR""",2010,140.0,30.3
416,416,2.0,5777,"""OH""",2014,63.0,56.4
417,417,3.0,470,"""IA""",2009,30.0,76.7
418,418,4.0,1241,"""VA""",2003,151.0,38.8
419,419,5.0,2922,"""MO""",2009,109.0,59.9
420,420,4.0,2628,"""MD""",2005,113.0,48.2
421,421,8.0,1602,"""GA""",2007,7.0,28.1
422,422,5.0,3098,"""IL""",2003,147.0,33.8
423,423,1.0,5309,"""IN""",2015,154.0,38.4
424,424,7.0,1627,"""LA""",2003,22.0,56.8
425,425,2.0,5475,"""IN""",2013,150.0,56.7
426,426,4.0,109,"""IL""",2005,148.0,54.1
427,427,4.0,3397,"""MD""",2006,113.0,32.5
428,428,3.0,5819,"""NE""",2015,159.0,58.5
429,429,6.0,706,"""SC""",2010,36.0,64.6
430,430,3.0,5340,"""OH""",2015,127.0,67.7
431,431,0.0,4820,"""ND""",2004,31.0,36.4
432,432,2.0,5687,"""NE""",2015,158.0,100.7
433,433,0.0,3166,"""ONT""",2014,134.0,40.6
434,434,0.0,5224,"""ND""",2006,31.0,45.8
435,435,6.0,2263,"""GA""",2014,146.0,73.9
436,436,3.0,417,"""MO""",2006,38.0,27.0
437,437,6.0,2894,"""NC""",2011,167.0,49.0
438,438,0.0,2604,"""ND""",2003,31.0,28.6
439,439,3.0,5334,"""IA""",2008,2.0,41.9
440,440,7.0,2406,"""AL""",2011,51.0,43.3
441,441,2.0,4899,"""IN""",2005,150.0,40.0
442,442,3.0,5116,"""MO""",2015,110.0,58.3
443,443,0.0,3506,"""MI""",2005,58.0,28.7
444,444,4.0,1409,"""MD""",2003,113.0,29.9
445,445,5.0,2617,"""KS""",2009,104.0,37.4
446,446,-1.0,5600,"""ONT""",2007,99.0,46.1
447,447,3.0,1988,"""IA""",2004,30.0,54.2
448,448,4.0,4243,"""MO""",2006,110.0,34.0
449,449,6.0,1829,"""AL""",2012,143.0,43.1
450,450,2.0,2718,"""NE""",2009,40.0,81.6
451,451,4.0,603,"""IL""",2009,147.0,63.8
452,452,1.0,5098,"""IA""",2007,32.0,66.2
453,453,0.0,6,"""QUE""",2014,130.0,59.8
454,454,8.0,4882,"""GA""",2013,8.0,53.4
455,455,0.0,2169,"""MN""",2010,117.0,52.6
456,456,3.0,5034,"""IL""",2010,148.0,52.8
457,457,2.0,508,"""NE""",2013,40.0,69.9
458,458,6.0,725,"""AL""",2003,16.0,39.0
459,459,3.0,537,"""IA""",2008,30.0,71.1
460,460,3.0,4631,"""IN""",2015,150.0,79.9
461,461,4.0,3014,"""MS""",2011,135.0,49.9
462,462,2.0,1293,"""IL""",2009,148.0,47.8
463,463,5.0,1113,"""VA""",2006,151.0,44.8
464,464,2.0,311,"""IA""",2007,2.0,42.4
465,465,5.0,912,"""AL""",2014,16.0,61.3
466,466,3.0,2736,"""KS""",2011,78.0,57.6
467,467,5.0,1446,"""AR""",2014,140.0,72.2
468,468,2.0,4571,"""NE""",2006,15.0,66.3
469,469,2.0,4074,"""NE""",2011,102.0,80.9
470,470,0.0,3645,"""SD""",2005,153.0,43.8
471,471,0.0,1404,"""QUE""",2003,119.0,35.4
472,472,4.0,920,"""KY""",2004,111.0,72.8
473,473,2.0,5680,"""MI""",2007,64.0,28.1
474,474,4.0,2662,"""KS""",2015,81.0,48.4
475,475,1.0,313,"""NE""",2006,15.0,63.8
476,476,4.0,39,"""AR""",2014,69.0,74.2
477,477,0.0,3536,"""ONT""",2007,156.0,42.5
478,478,-1.0,1996,"""ONT""",2008,50.0,52.3
479,479,3.0,5046,"""NE""",2011,34.0,77.7
480,480,5.0,1358,"""MO""",2003,109.0,49.2
481,481,6.0,626,"""GA""",2009,146.0,28.7
482,482,2.0,3272,"""IA""",2007,115.0,58.5
483,483,4.0,2921,"""AR""",2008,116.0,55.9
484,484,1.0,3572,"""IA""",2009,2.0,58.2
485,485,8.0,1916,"""AL""",2014,143.0,51.6
486,486,2.0,5491,"""OH""",2015,63.0,71.1
487,487,5.0,1836,"""MS""",2014,139.0,69.3
488,488,3.0,2219,"""IA""",2008,2.0,50.1
489,489,4.0,1364,"""MO""",2008,110.0,71.6
490,490,5.0,732,"""LA""",2008,22.0,15.3
491,491,3.0,5136,"""NE""",2010,45.0,77.8
492,492,0.0,4163,"""SD""",2009,10.0,44.7
493,493,-1.0,2074,"""MN""",2006,87.0,43.0
494,494,6.0,1713,"""NC""",2009,167.0,47.8
495,495,6.0,2898,"""LA""",2013,22.0,51.3
496,496,1.0,4615,"""NE""",2013,102.0,75.2
497,497,3.0,5480,"""KS""",2010,98.0,32.5
