Performance_Record,ADNI,AP,ARH,MDNI,MaxSur,MinSur,AvgSur,Day,Julian_date,date,Maturity_Group,Genotype_ID,State,Year,Location,Yield
0,226.79,0,80.670000000000002,874,55.899999999999999,36.899999999999999,44.969999999999999,210,300,2021-10-27 00:00:00.0000000,3,243,"KS",2009,98,39
0,95.71,0,76.209999999999994,660,51.5,39.600000000000001,45.130000000000003,199,289,2021-10-16 00:00:00.0000000,3,243,"KS",2009,98,39
0,133.79,0,72.040000000000006,750,51,38.700000000000003,45.43,200,290,2021-10-17 00:00:00.0000000,3,243,"KS",2009,98,39
0,283.54,0,75.129999999999995,937,59.600000000000001,36.799999999999997,44.600000000000001,201,291,2021-10-18 00:00:00.0000000,3,243,"KS",2009,98,39
0,6.92,0,80.709999999999994,116,67.700000000000003,52.799999999999997,56.950000000000003,202,292,2021-10-19 00:00:00.0000000,3,243,"KS",2009,98,39
0,0,0.01,88.209999999999994,0,65.400000000000006,58.899999999999999,62.200000000000003,203,293,2021-10-20 00:00:00.0000000,3,243,"KS",2009,98,39
0,0,0,89.379999999999995,0,67.400000000000006,61.100000000000001,63.509999999999998,204,294,2021-10-21 00:00:00.0000000,3,243,"KS",2009,98,39
0,313.38,0,65.920000000000002,982,46.600000000000001,35.899999999999999,40.32,193,283,2021-10-10 00:00:00.0000000,3,243,"KS",2009,98,39
0,2.83,0,62.539999999999999,28,42.200000000000003,34.700000000000003,37.649999999999999,194,284,2021-10-11 00:00:00.0000000,3,243,"KS",2009,98,39
0,49.42,0,83.829999999999998,544,55.5,38.700000000000003,44.539999999999999,195,285,2021-10-12 00:00:00.0000000,3,243,"KS",2009,98,39
0,0,0.01,80.879999999999995,0,49.399999999999999,39.899999999999999,44.509999999999998,196,286,2021-10-13 00:00:00.0000000,3,243,"KS",2009,98,39
0,0.88,0,92.25,11,47,39.899999999999999,42.25,197,287,2021-10-14 00:00:00.0000000,3,243,"KS",2009,98,39
0,147.13,0,86.629999999999995,789,57.399999999999999,43,47.07,198,288,2021-10-15 00:00:00.0000000,3,243,"KS",2009,98,39
0,282.63,0,63.539999999999999,858,65.299999999999997,43.899999999999999,52.340000000000003,187,277,2021-10-04 00:00:00.0000000,3,243,"KS",2009,98,39
0,136.83,0,61.960000000000001,821,64.299999999999997,47.299999999999997,55.93,188,278,2021-10-05 00:00:00.0000000,3,243,"KS",2009,98,39
0,265.33,0.02,76.879999999999995,914,63.100000000000001,56.5,59.409999999999997,189,279,2021-10-06 00:00:00.0000000,3,243,"KS",2009,98,39
0,206.08,0,59.460000000000001,960,66.900000000000006,37.600000000000001,51.299999999999997,190,280,2021-10-07 00:00:00.0000000,3,243,"KS",2009,98,39
0,0,0.08,91.579999999999998,0,58.200000000000003,50.600000000000001,54.880000000000003,191,281,2021-10-08 00:00:00.0000000,3,243,"KS",2009,98,39
0,167.29,0.01,81.25,883,54.200000000000003,42,46.299999999999997,192,282,2021-10-09 00:00:00.0000000,3,243,"KS",2009,98,39
0,323.13,0,32.829999999999998,978,74.400000000000006,51.600000000000001,62.229999999999997,181,271,2021-09-28 00:00:00.0000000,3,243,"KS",2009,98,39
0,323.92,0,47.460000000000001,965,69.099999999999994,44.799999999999997,56,182,272,2021-09-29 00:00:00.0000000,3,243,"KS",2009,98,39
0,102.63,0,64.670000000000002,635,70.5,48,55.979999999999997,183,273,2021-09-30 00:00:00.0000000,3,243,"KS",2009,98,39
0,45.92,0.01,74.879999999999995,394,72,64,66.810000000000002,184,274,2021-10-01 00:00:00.0000000,3,243,"KS",2009,98,39
0,332.42,0,36.039999999999999,989,65.099999999999994,49.899999999999999,56.560000000000002,185,275,2021-10-02 00:00:00.0000000,3,243,"KS",2009,98,39
0,319.63,0,48.880000000000003,959,62.399999999999999,45.5,53.240000000000002,186,276,2021-10-03 00:00:00.0000000,3,243,"KS",2009,98,39
0,191.21,0,76.540000000000006,702,66,52,58.93,175,265,2021-09-22 00:00:00.0000000,3,243,"KS",2009,98,39
0,271.67,0,74.379999999999995,937,72.200000000000003,45.600000000000001,57.350000000000001,176,266,2021-09-23 00:00:00.0000000,3,243,"KS",2009,98,39
0,265.88,0,73.329999999999998,936,74.200000000000003,47.100000000000001,59.25,177,267,2021-09-24 00:00:00.0000000,3,243,"KS",2009,98,39
0,268.5,0,73.209999999999994,927,75.799999999999997,52,62.310000000000002,178,268,2021-09-25 00:00:00.0000000,3,243,"KS",2009,98,39
0,96.67,0.01,86.379999999999995,678,72.700000000000003,55.799999999999997,60.829999999999998,179,269,2021-09-26 00:00:00.0000000,3,243,"KS",2009,98,39
0,315.46,0,64.790000000000006,927,84.5,56,65.980000000000004,180,270,2021-09-27 00:00:00.0000000,3,243,"KS",2009,98,39
0,262.96,0,60.130000000000003,916,81,62.200000000000003,71.489999999999995,169,259,2021-09-16 00:00:00.0000000,3,243,"KS",2009,98,39
0,314.83,0,61.039999999999999,904,77.400000000000006,61.899999999999999,69.75,170,260,2021-09-17 00:00:00.0000000,3,243,"KS",2009,98,39
0,166.38,0,65.040000000000006,717,73.700000000000003,51.799999999999997,63.189999999999998,171,261,2021-09-18 00:00:00.0000000,3,243,"KS",2009,98,39
0,319.75,0,62.079999999999998,940,79.200000000000003,50.899999999999999,63.07,172,262,2021-09-19 00:00:00.0000000,3,243,"KS",2009,98,39
0,296.08,0,57.579999999999998,916,80.200000000000003,55.600000000000001,67.780000000000001,173,263,2021-09-20 00:00:00.0000000,3,243,"KS",2009,98,39
0,60.96,0.05,85.25,561,74.700000000000003,64.599999999999994,68.450000000000003,174,264,2021-09-21 00:00:00.0000000,3,243,"KS",2009,98,39
0,250.46,0,83.670000000000002,865,81.400000000000006,63,71,163,253,2021-09-10 00:00:00.0000000,3,243,"KS",2009,98,39
0,116.42,0,69.079999999999998,633,82.799999999999997,65.799999999999997,72.430000000000007,164,254,2021-09-11 00:00:00.0000000,3,243,"KS",2009,98,39
0,295.5,0,73.959999999999994,904,82.299999999999997,62.200000000000003,71.319999999999993,165,255,2021-09-12 00:00:00.0000000,3,243,"KS",2009,98,39
0,84.63,0,66.040000000000006,266,77.099999999999994,61.5,69.129999999999995,166,256,2021-09-13 00:00:00.0000000,3,243,"KS",2009,98,39
0,136.88,0,62.420000000000002,731,77.799999999999997,62.200000000000003,69.079999999999998,167,257,2021-09-14 00:00:00.0000000,3,243,"KS",2009,98,39
0,213.13,0,63.210000000000001,837,80,60.799999999999997,68.799999999999997,168,258,2021-09-15 00:00:00.0000000,3,243,"KS",2009,98,39
0,111.92,0.05,80.959999999999994,637,72,59,65.459999999999994,157,247,2021-09-04 00:00:00.0000000,3,243,"KS",2009,98,39
0,230.67,0,80.329999999999998,924,79.799999999999997,56.700000000000003,66.200000000000003,158,248,2021-09-05 00:00:00.0000000,3,243,"KS",2009,98,39
0,142.88,0,83.459999999999994,837,78.799999999999997,62.200000000000003,67.609999999999999,159,249,2021-09-06 00:00:00.0000000,3,243,"KS",2009,98,39
0,52.67,0,85.170000000000002,445,75.700000000000003,53.899999999999999,64.430000000000007,160,250,2021-09-07 00:00:00.0000000,3,243,"KS",2009,98,39
0,10.08,0.01,88.579999999999998,64,76.599999999999994,62.200000000000003,67.730000000000004,161,251,2021-09-08 00:00:00.0000000,3,243,"KS",2009,98,39
0,32.08,0.04,94.540000000000006,294,75.200000000000003,65.5,68.629999999999995,162,252,2021-09-09 00:00:00.0000000,3,243,"KS",2009,98,39
0,261.75,0,73.75,915,76.299999999999997,57.200000000000003,65.769999999999996,151,241,2021-08-29 00:00:00.0000000,3,243,"KS",2009,98,39
0,348.96,0,62.039999999999999,949,71.700000000000003,50,61.560000000000002,152,242,2021-08-30 00:00:00.0000000,3,243,"KS",2009,98,39
0,212.67,0,74.670000000000002,778,69.299999999999997,44.799999999999997,57.439999999999998,153,243,2021-08-31 00:00:00.0000000,3,243,"KS",2009,98,39
0,246.75,0,71.170000000000002,835,76.5,50.100000000000001,61,154,244,2021-09-01 00:00:00.0000000,3,243,"KS",2009,98,39
0,3,0.02,86.329999999999998,24,71.700000000000003,58.100000000000001,62.380000000000003,155,245,2021-09-02 00:00:00.0000000,3,243,"KS",2009,98,39
0,14.33,0,75.420000000000002,96,75.299999999999997,58.5,65.760000000000005,156,246,2021-09-03 00:00:00.0000000,3,243,"KS",2009,98,39
0,354.71,0,66.829999999999998,937,80.5,51.799999999999997,65.650000000000006,145,235,2021-08-23 00:00:00.0000000,3,243,"KS",2009,98,39
0,253.54,0,64,681,85.400000000000006,60.899999999999999,70.25,146,236,2021-08-24 00:00:00.0000000,3,243,"KS",2009,98,39
0,330.38,0,67.290000000000006,909,91.5,67.799999999999997,78.120000000000005,147,237,2021-08-25 00:00:00.0000000,3,243,"KS",2009,98,39
0,230.58,0,72.959999999999994,850,89.900000000000006,69.599999999999994,77.75,148,238,2021-08-26 00:00:00.0000000,3,243,"KS",2009,98,39
0,19.33,0.03,88.670000000000002,194,84.799999999999997,66.700000000000003,70.75,149,239,2021-08-27 00:00:00.0000000,3,243,"KS",2009,98,39
0,179.75,0,80.959999999999994,821,79.099999999999994,58.5,66.769999999999996,150,240,2021-08-28 00:00:00.0000000,3,243,"KS",2009,98,39
0,173.46,0.03,84.079999999999998,840,84.200000000000003,68.900000000000006,75.579999999999998,139,229,2021-08-17 00:00:00.0000000,3,243,"KS",2009,98,39
0,67.46,0,81.920000000000002,500,81.599999999999994,66.900000000000006,71.590000000000003,140,230,2021-08-18 00:00:00.0000000,3,243,"KS",2009,98,39
0,235.33,0,82.040000000000006,727,86.599999999999994,65.599999999999994,73.450000000000003,141,231,2021-08-19 00:00:00.0000000,3,243,"KS",2009,98,39
0,163.71,0.01,77.920000000000002,868,80.900000000000006,61.299999999999997,70.310000000000002,142,232,2021-08-20 00:00:00.0000000,3,243,"KS",2009,98,39
0,297.54,0,54.630000000000003,926,77.599999999999994,60.100000000000001,69.200000000000003,143,233,2021-08-21 00:00:00.0000000,3,243,"KS",2009,98,39
0,346.58,0,70.209999999999994,923,78,53.100000000000001,65.319999999999993,144,234,2021-08-22 00:00:00.0000000,3,243,"KS",2009,98,39
0,345.83,0,66.790000000000006,924,91.299999999999997,64.599999999999994,76.629999999999995,133,223,2021-08-11 00:00:00.0000000,3,243,"KS",2009,98,39
0,344.33,0,54.420000000000002,921,93.700000000000003,65.700000000000003,78.260000000000005,134,224,2021-08-12 00:00:00.0000000,3,243,"KS",2009,98,39
0,350.54,0,50.670000000000002,912,91.799999999999997,69.299999999999997,80.269999999999996,135,225,2021-08-13 00:00:00.0000000,3,243,"KS",2009,98,39
0,338,0,53.380000000000003,910,90.5,66.200000000000003,79.040000000000006,136,226,2021-08-14 00:00:00.0000000,3,243,"KS",2009,98,39
0,255.42,0,56.670000000000002,915,91,68.200000000000003,78.489999999999995,137,227,2021-08-15 00:00:00.0000000,3,243,"KS",2009,98,39
0,169.96,0.02,80.670000000000002,781,91.599999999999994,70.200000000000003,76.950000000000003,138,228,2021-08-16 00:00:00.0000000,3,243,"KS",2009,98,39
0,369.71,0,58.829999999999998,916,89.700000000000003,64.799999999999997,76.859999999999999,127,217,2021-08-05 00:00:00.0000000,3,243,"KS",2009,98,39
0,261.08,0,66.379999999999995,711,88.400000000000006,62.799999999999997,74.980000000000004,128,218,2021-08-06 00:00:00.0000000,3,243,"KS",2009,98,39
0,353.83,0,60.880000000000003,908,99.5,72.299999999999997,82.689999999999998,129,219,2021-08-07 00:00:00.0000000,3,243,"KS",2009,98,39
0,352.96,0,41.960000000000001,909,102.7,80.200000000000003,90.349999999999994,130,220,2021-08-08 00:00:00.0000000,3,243,"KS",2009,98,39
0,345.29,0,41.960000000000001,918,101.2,79.200000000000003,90.129999999999995,131,221,2021-08-09 00:00:00.0000000,3,243,"KS",2009,98,39
0,242.25,0,54.630000000000003,825,97.700000000000003,71.200000000000003,84.230000000000004,132,222,2021-08-10 00:00:00.0000000,3,243,"KS",2009,98,39
0,178.25,0,60,546,78.200000000000003,62.799999999999997,70.049999999999997,121,211,2021-07-30 00:00:00.0000000,3,243,"KS",2009,98,39
0,384.5,0,62.5,926,84.099999999999994,54.899999999999999,68.609999999999999,122,212,2021-07-31 00:00:00.0000000,3,243,"KS",2009,98,39
0,234.54,0.01,59.880000000000003,886,81.299999999999997,63,72.530000000000001,123,213,2021-08-01 00:00:00.0000000,3,243,"KS",2009,98,39
0,385.67,0,58.039999999999999,926,87.599999999999994,53.899999999999999,68.920000000000002,124,214,2021-08-02 00:00:00.0000000,3,243,"KS",2009,98,39
0,374.13,0,41.789999999999999,913,99.700000000000003,67.099999999999994,81.140000000000001,125,215,2021-08-03 00:00:00.0000000,3,243,"KS",2009,98,39
0,337.58,0,41.170000000000002,919,95.900000000000006,75.900000000000006,87.310000000000002,126,216,2021-08-04 00:00:00.0000000,3,243,"KS",2009,98,39
0,175.96,0,47.289999999999999,789,95.599999999999994,69.5,80.069999999999993,115,205,2021-07-24 00:00:00.0000000,3,243,"KS",2009,98,39
0,214.96,0,47.880000000000003,794,89.700000000000003,71.799999999999997,80.760000000000005,116,206,2021-07-25 00:00:00.0000000,3,243,"KS",2009,98,39
0,375.04,0,58.420000000000002,911,87.700000000000003,62.100000000000001,74.120000000000005,117,207,2021-07-26 00:00:00.0000000,3,243,"KS",2009,98,39
0,339.08,0,62.920000000000002,911,96,62.600000000000001,77.150000000000006,118,208,2021-07-27 00:00:00.0000000,3,243,"KS",2009,98,39
0,252.88,0.02,79.959999999999994,821,87.900000000000006,65.700000000000003,74.180000000000007,119,209,2021-07-28 00:00:00.0000000,3,243,"KS",2009,98,39
0,360.42,0.01,73.290000000000006,905,80.799999999999997,55.799999999999997,68.510000000000005,120,210,2021-07-29 00:00:00.0000000,3,243,"KS",2009,98,39
0,389.21,0,55.789999999999999,931,81.200000000000003,50.200000000000003,67.090000000000003,109,199,2021-07-18 00:00:00.0000000,3,243,"KS",2009,98,39
0,380.75,0,61.789999999999999,914,86.400000000000006,53.200000000000003,68.920000000000002,110,200,2021-07-19 00:00:00.0000000,3,243,"KS",2009,98,39
0,37.25,0,61.960000000000001,336,80.200000000000003,61.5,69.420000000000002,111,201,2021-07-20 00:00:00.0000000,3,243,"KS",2009,98,39
0,143.04,0.03,86.579999999999998,779,79.5,65.400000000000006,70,112,202,2021-07-21 00:00:00.0000000,3,243,"KS",2009,98,39
0,368.29,0,69.579999999999998,916,85.299999999999997,58.600000000000001,70.439999999999998,113,203,2021-07-22 00:00:00.0000000,3,243,"KS",2009,98,39
0,353.75,0,50.5,908,89,67.599999999999994,76.489999999999995,114,204,2021-07-23 00:00:00.0000000,3,243,"KS",2009,98,39
0,132.63,0,82.959999999999994,658,88,72.900000000000006,77.650000000000006,103,193,2021-07-12 00:00:00.0000000,3,243,"KS",2009,98,39
0,220.63,0,75.5,715,86.5,69.400000000000006,76.75,104,194,2021-07-13 00:00:00.0000000,3,243,"KS",2009,98,39
0,118.04,0,77.040000000000006,691,92.200000000000003,69.799999999999997,77.829999999999998,105,195,2021-07-14 00:00:00.0000000,3,243,"KS",2009,98,39
0,338.38,0,52.25,848,91,71.599999999999994,83.090000000000003,106,196,2021-07-15 00:00:00.0000000,3,243,"KS",2009,98,39
0,337.42,0,62.880000000000003,909,90.5,69.299999999999997,78.430000000000007,107,197,2021-07-16 00:00:00.0000000,3,243,"KS",2009,98,39
0,397.75,0,54.880000000000003,941,85.200000000000003,56.5,70.180000000000007,108,198,2021-07-17 00:00:00.0000000,3,243,"KS",2009,98,39
0,308.83,0,73.879999999999995,910,87,56.5,71.900000000000006,97,187,2021-07-06 00:00:00.0000000,3,243,"KS",2009,98,39
0,309,0,65.75,914,84.099999999999994,61.5,73.439999999999998,98,188,2021-07-07 00:00:00.0000000,3,243,"KS",2009,98,39
0,373.96,0,63.75,914,88.5,64.900000000000006,75.599999999999994,99,189,2021-07-08 00:00:00.0000000,3,243,"KS",2009,98,39
0,379.63,0,62.920000000000002,912,92.400000000000006,67.299999999999997,79.260000000000005,100,190,2021-07-09 00:00:00.0000000,3,243,"KS",2009,98,39
0,269.58,0.01,67.040000000000006,782,92.700000000000003,71.799999999999997,82.430000000000007,101,191,2021-07-10 00:00:00.0000000,3,243,"KS",2009,98,39
0,355.92,0,63,911,93.900000000000006,74.700000000000003,84.379999999999995,102,192,2021-07-11 00:00:00.0000000,3,243,"KS",2009,98,39
0,392.08,0,56.880000000000003,915,86.200000000000003,63.100000000000001,75.269999999999996,91,181,2021-06-30 00:00:00.0000000,3,243,"KS",2009,98,39
0,395.42,0,55.380000000000003,920,84.200000000000003,59,71.409999999999997,92,182,2021-07-01 00:00:00.0000000,3,243,"KS",2009,98,39
0,125.63,0,65.959999999999994,577,88,58.5,71.489999999999995,93,183,2021-07-02 00:00:00.0000000,3,243,"KS",2009,98,39
0,139.38,0,74.170000000000002,495,84.599999999999994,62.700000000000003,71.650000000000006,94,184,2021-07-03 00:00:00.0000000,3,243,"KS",2009,98,39
0,45,0.01,71.959999999999994,318,83.099999999999994,72.5,77.299999999999997,95,185,2021-07-04 00:00:00.0000000,3,243,"KS",2009,98,39
0,100,0,82.629999999999995,712,78.5,64.599999999999994,70.439999999999998,96,186,2021-07-05 00:00:00.0000000,3,243,"KS",2009,98,39
0,381.5,0,68.379999999999995,918,96.799999999999997,68.5,83.629999999999995,85,175,2021-06-24 00:00:00.0000000,3,243,"KS",2009,98,39
0,346.67,0.02,77.920000000000002,899,93.900000000000006,71.599999999999994,81.120000000000005,86,176,2021-06-25 00:00:00.0000000,3,243,"KS",2009,98,39
0,386.42,0,77.579999999999998,918,93.5,70.799999999999997,82.620000000000005,87,177,2021-06-26 00:00:00.0000000,3,243,"KS",2009,98,39
0,334.75,0,65.329999999999998,889,95.299999999999997,73.599999999999994,83.689999999999998,88,178,2021-06-27 00:00:00.0000000,3,243,"KS",2009,98,39
0,369.25,0.01,69.079999999999998,866,85,63.100000000000001,74.280000000000001,89,179,2021-06-28 00:00:00.0000000,3,243,"KS",2009,98,39
0,301.46,0,53.829999999999998,881,90.5,63.200000000000003,76.280000000000001,90,180,2021-06-29 00:00:00.0000000,3,243,"KS",2009,98,39
0,378.08,0,67.5,915,90.400000000000006,73.599999999999994,82.269999999999996,79,169,2021-06-18 00:00:00.0000000,3,243,"KS",2009,98,39
0,152.38,0,67.670000000000002,818,86.5,76.099999999999994,81.079999999999998,80,170,2021-06-19 00:00:00.0000000,3,243,"KS",2009,98,39
0,95.92,0,81.75,347,85.200000000000003,71.099999999999994,77.930000000000007,81,171,2021-06-20 00:00:00.0000000,3,243,"KS",2009,98,39
0,371.67,0,68.25,912,91.5,74.900000000000006,81.790000000000006,82,172,2021-06-21 00:00:00.0000000,3,243,"KS",2009,98,39
0,366.21,0,66.170000000000002,914,94.099999999999994,77,85.400000000000006,83,173,2021-06-22 00:00:00.0000000,3,243,"KS",2009,98,39
0,388.29,0,62.880000000000003,919,98.099999999999994,75.599999999999994,86.400000000000006,84,174,2021-06-23 00:00:00.0000000,3,243,"KS",2009,98,39
0,280.13,0,84.75,864,80.700000000000003,60.399999999999999,69.150000000000006,73,163,2021-06-12 00:00:00.0000000,3,243,"KS",2009,98,39
0,140.92,0,87.670000000000002,715,75.700000000000003,61.200000000000003,66.75,74,164,2021-06-13 00:00:00.0000000,3,243,"KS",2009,98,39
0,256.42,0.02,83.879999999999995,900,79.400000000000006,58.5,66.75,75,165,2021-06-14 00:00:00.0000000,3,243,"KS",2009,98,39
0,157.71,0.01,88.829999999999998,639,85.5,67.299999999999997,73.219999999999999,76,166,2021-06-15 00:00:00.0000000,3,243,"KS",2009,98,39
0,380.92,0.03,81.75,919,84.5,66.599999999999994,76.049999999999997,77,167,2021-06-16 00:00:00.0000000,3,243,"KS",2009,98,39
0,373.96,0,81.379999999999995,909,89.900000000000006,69.099999999999994,78.450000000000003,78,168,2021-06-17 00:00:00.0000000,3,243,"KS",2009,98,39
0,313.63,0,66.75,835,83.599999999999994,65.5,72.879999999999995,67,157,2021-06-06 00:00:00.0000000,3,243,"KS",2009,98,39
0,251.88,0,67.209999999999994,872,86.400000000000006,67.799999999999997,75.849999999999994,68,158,2021-06-07 00:00:00.0000000,3,243,"KS",2009,98,39
0,314.96,0,71.040000000000006,879,76,64.200000000000003,71.769999999999996,69,159,2021-06-08 00:00:00.0000000,3,243,"KS",2009,98,39
0,62.5,0.01,84.459999999999994,341,77.5,56.5,64.439999999999998,70,160,2021-06-09 00:00:00.0000000,3,243,"KS",2009,98,39
0,39.5,0.01,92.579999999999998,271,76.299999999999997,63,68.400000000000006,71,161,2021-06-10 00:00:00.0000000,3,243,"KS",2009,98,39
0,20.67,0.01,94.959999999999994,223,70.599999999999994,64.299999999999997,66.969999999999999,72,162,2021-06-11 00:00:00.0000000,3,243,"KS",2009,98,39
0,391.42,0,67.329999999999998,925,87,62.600000000000001,74.25,61,151,2021-05-31 00:00:00.0000000,3,243,"KS",2009,98,39
0,374.63,0,54.829999999999998,916,87.400000000000006,69.099999999999994,77.909999999999997,62,152,2021-06-01 00:00:00.0000000,3,243,"KS",2009,98,39
0,330.71,0.02,70.540000000000006,928,84,61.5,73.150000000000006,63,153,2021-06-02 00:00:00.0000000,3,243,"KS",2009,98,39
0,306.71,0,74.040000000000006,919,73.799999999999997,56.100000000000001,63.859999999999999,64,154,2021-06-03 00:00:00.0000000,3,243,"KS",2009,98,39
0,196.92,0,74.420000000000002,854,77.700000000000003,49.600000000000001,63.799999999999997,65,155,2021-06-04 00:00:00.0000000,3,243,"KS",2009,98,39
0,387.5,0,70.5,915,79.700000000000003,55.899999999999999,67.079999999999998,66,156,2021-06-05 00:00:00.0000000,3,243,"KS",2009,98,39
0,125.42,0,83.75,713,77,60.700000000000003,68.680000000000007,55,145,2021-05-25 00:00:00.0000000,3,243,"KS",2009,98,39
0,113.92,0.01,86.790000000000006,744,78,61.899999999999999,67.019999999999996,56,146,2021-05-26 00:00:00.0000000,3,243,"KS",2009,98,39
0,8.71,0.01,93.790000000000006,208,71.099999999999994,55,58.490000000000002,57,147,2021-05-27 00:00:00.0000000,3,243,"KS",2009,98,39
0,183.58,0,83.040000000000006,689,73.099999999999994,54.100000000000001,60.420000000000002,58,148,2021-05-28 00:00:00.0000000,3,243,"KS",2009,98,39
0,392.54,0,65.670000000000002,921,85.799999999999997,50.200000000000003,66.930000000000007,59,149,2021-05-29 00:00:00.0000000,3,243,"KS",2009,98,39
0,389.67,0,51.670000000000002,917,88.400000000000006,67.299999999999997,76.290000000000006,60,150,2021-05-30 00:00:00.0000000,3,243,"KS",2009,98,39
0,394.13,0,65.290000000000006,935,76.700000000000003,55.600000000000001,64.769999999999996,49,139,2021-05-19 00:00:00.0000000,3,243,"KS",2009,98,39
0,397.96,0,69.129999999999995,932,76.099999999999994,56.700000000000003,65.959999999999994,50,140,2021-05-20 00:00:00.0000000,3,243,"KS",2009,98,39
0,394.83,0,69.459999999999994,927,77.5,54.899999999999999,66.049999999999997,51,141,2021-05-21 00:00:00.0000000,3,243,"KS",2009,98,39
0,143.08,0,78.329999999999998,757,80,56.899999999999999,66.909999999999997,52,142,2021-05-22 00:00:00.0000000,3,243,"KS",2009,98,39
0,272.38,0,72,917,83.400000000000006,59,71.549999999999997,53,143,2021-05-23 00:00:00.0000000,3,243,"KS",2009,98,39
0,364.08,0,73.420000000000002,927,82.700000000000003,58.299999999999997,71.290000000000006,54,144,2021-05-24 00:00:00.0000000,3,243,"KS",2009,98,39
0,23.17,0.01,89.670000000000002,249,80.799999999999997,63.799999999999997,69.829999999999998,43,133,2021-05-13 00:00:00.0000000,3,243,"KS",2009,98,39
0,156.79,0,65.879999999999995,674,73.200000000000003,50,60.57,44,134,2021-05-14 00:00:00.0000000,3,243,"KS",2009,98,39
0,82.33,0.03,83.079999999999998,433,80.099999999999994,59.5,68.310000000000002,45,135,2021-05-15 00:00:00.0000000,3,243,"KS",2009,98,39
0,278.58,0.03,70.25,815,70.599999999999994,49.299999999999997,57.829999999999998,46,136,2021-05-16 00:00:00.0000000,3,243,"KS",2009,98,39
0,393.25,0,70.540000000000006,972,66.299999999999997,38.299999999999997,52.590000000000003,47,137,2021-05-17 00:00:00.0000000,3,243,"KS",2009,98,39
0,389.54,0,61.380000000000003,946,71.099999999999994,47.5,57.880000000000003,48,138,2021-05-18 00:00:00.0000000,3,243,"KS",2009,98,39
0,258.92,0,77.129999999999995,870,79.5,57.200000000000003,66.450000000000003,37,127,2021-05-07 00:00:00.0000000,3,243,"KS",2009,98,39
0,91.08,0.09,87.209999999999994,604,76.700000000000003,61.600000000000001,67.510000000000005,38,128,2021-05-08 00:00:00.0000000,3,243,"KS",2009,98,39
0,321.13,0,55.460000000000001,953,72.200000000000003,50.100000000000001,60.630000000000003,39,129,2021-05-09 00:00:00.0000000,3,243,"KS",2009,98,39
0,14.67,0,82.329999999999998,264,65,47.899999999999999,54.030000000000001,40,130,2021-05-10 00:00:00.0000000,3,243,"KS",2009,98,39
0,265.38,0,82.329999999999998,945,67.700000000000003,39.799999999999997,53.030000000000001,41,131,2021-05-11 00:00:00.0000000,3,243,"KS",2009,98,39
0,7.58,0.02,88.170000000000002,174,64.700000000000003,52.700000000000003,57.920000000000002,42,132,2021-05-12 00:00:00.0000000,3,243,"KS",2009,98,39
0,37.08,0.02,90.540000000000006,274,69,48.700000000000003,56.75,31,121,2021-05-01 00:00:00.0000000,3,243,"KS",2009,98,39
